Location,Household Type,TimeFrame,DataFormat,Data
Greenwich Village,All Households,2013,Dollars,142617.114
Greenwich Village,Families with Children,2012,Dollars,236487.3702
Greenwich Village,Families without Children,2012,Dollars,168096.0967
Greenwich Village,Families,2012,Dollars,178616.4958
Greenwich Village,All Households,2012,Dollars,119049.1188
Greenwich Village,Families without Children,2011,Dollars,198267.804
Greenwich Village,Families with Children,2011,Dollars,248555.1346
Greenwich Village,Families,2011,Dollars,221966.5803
Greenwich Village,Families without Children,2010,Dollars,165137.6517
Greenwich Village,All Households,2011,Dollars,141439.8284
Greenwich Village,Families with Children,2010,Dollars,276547.346
Greenwich Village,Families,2010,Dollars,196197.5153
Greenwich Village,All Households,2010,Dollars,123927.5693
Greenwich Village,Families without Children,2009,Dollars,189892.9638
Greenwich Village,Families with Children,2009,Dollars,192597.2217
Greenwich Village,All Households,2009,Dollars,125639.994
Greenwich Village,Families,2009,Dollars,191669.0602
Greenwich Village,Families without Children,2008,Dollars,212378.4324
Greenwich Village,Families with Children,2008,Dollars,238083.9684
Greenwich Village,Families,2008,Dollars,218492.7176
Greenwich Village,All Households,2008,Dollars,131052.9843
Greenwich Village,Families without Children,2007,Dollars,201005.6472
Greenwich Village,Families,2007,Dollars,181608.0832
Greenwich Village,Families with Children,2007,Dollars,167170.6798
Greenwich Village,All Households,2007,Dollars,135204.6277
Greenwich Village,Families without Children,2006,Dollars,174759.3151
Greenwich Village,Families with Children,2006,Dollars,207842.3991
Greenwich Village,Families,2006,Dollars,186613.0163
Greenwich Village,All Households,2006,Dollars,125650.5569
Greenwich Village,Families with Children,2005,Dollars,240493.7706
Greenwich Village,Families without Children,2005,Dollars,171895.3275
Greenwich Village,Families,2005,Dollars,184225.0995
Greenwich Village,All Households,2005,Dollars,127748.9167
Lower East Side,All Households,2005,Dollars,44050.21327
Lower East Side,Families,2005,Dollars,44046.09052
Lower East Side,Families without Children,2005,Dollars,46479.88748
Lower East Side,Families with Children,2005,Dollars,40240.79194
Lower East Side,All Households,2006,Dollars,48870.35975
Lower East Side,Families,2006,Dollars,47184.35287
Lower East Side,Families with Children,2006,Dollars,40993.93954
Lower East Side,Families without Children,2006,Dollars,51543.07137
Lower East Side,All Households,2007,Dollars,41265.54822
Lower East Side,Families with Children,2007,Dollars,34641.26723
Lower East Side,Families,2007,Dollars,40993.77624
Lower East Side,Families without Children,2007,Dollars,47100.27366
Lower East Side,All Households,2008,Dollars,45296.78692
Lower East Side,Families,2008,Dollars,45015.37112
Lower East Side,Families with Children,2008,Dollars,43154.55561
Lower East Side,Families without Children,2008,Dollars,46054.25413
Lower East Side,Families,2009,Dollars,42979.3099
Lower East Side,All Households,2009,Dollars,50918.05325
Lower East Side,Families with Children,2009,Dollars,38902.55783
Lower East Side,Families without Children,2009,Dollars,50918.05325
Lower East Side,All Households,2010,Dollars,51350.59262
Lower East Side,Families,2010,Dollars,53032.58727
Lower East Side,Families with Children,2010,Dollars,49870.049
Lower East Side,All Households,2011,Dollars,46210.48969
Lower East Side,Families without Children,2010,Dollars,55000.98216
Lower East Side,Families,2011,Dollars,44111.30014
Lower East Side,Families with Children,2011,Dollars,43238.11281
Lower East Side,Families without Children,2011,Dollars,44676.51195
Lower East Side,All Households,2012,Dollars,47245.16714
Lower East Side,Families,2012,Dollars,39092.46537
Lower East Side,Families without Children,2012,Dollars,35930.90664
Lower East Side,Families with Children,2012,Dollars,43012.01128
Lower East Side,All Households,2013,Dollars,45675.58024
Lower East Side,Families,2013,Dollars,41159.57838
Lower East Side,Families with Children,2013,Dollars,33014.15871
Lower East Side,Families without Children,2013,Dollars,44989.30274
Lower East Side,All Households,2014,Dollars,46464.30426
Lower East Side,Families with Children,2014,Dollars,54464.08125
Lower East Side,Families,2014,Dollars,47889.70682
Lower East Side,Families without Children,2014,Dollars,44911.97461
Lower East Side,All Households,2015,Dollars,47417.70816
Lower East Side,Families,2015,Dollars,38463.22377
Lower East Side,Families with Children,2015,Dollars,37929.23046
Lower East Side,Families without Children,2015,Dollars,38531.65568
Lower East Side,Families,2016,Dollars,47916.7597
Lower East Side,All Households,2016,Dollars,45734.7397
Lower East Side,Families with Children,2016,Dollars,50508.32466
Lower East Side,Families without Children,2016,Dollars,47047.72529
Lower East Side,Families,2017,Dollars,41040.20335
Lower East Side,All Households,2017,Dollars,43089.98195
Lower East Side,All Households,2018,Dollars,51675.1873
Lower East Side,Families without Children,2017,Dollars,42946.29062
Lower East Side,Families with Children,2017,Dollars,38758.55919
Lower East Side,Families without Children,2019,Dollars,47479.63953
Lower East Side,Families with Children,2019,Dollars,40467.45276
Lower East Side,Families,2019,Dollars,44555.1804
Lower East Side,All Households,2019,Dollars,43401.36936
Lower East Side,Families without Children,2018,Dollars,40962.22109
Lower East Side,Families with Children,2018,Dollars,42600.83812
Lower East Side,Families,2018,Dollars,41127.79191
Lower East Side,All Households,2021,Dollars,49685
Lower East Side,Families,2021,Dollars,51915
Lower East Side,Families without Children,2021,Dollars,55013
Lower East Side,Families with Children,2021,Dollars,48482
Chelsea/Clinton,Families without Children,2021,Dollars,115857.5539
Chelsea/Clinton,Families,2021,Dollars,115601.6374
Chelsea/Clinton,Families with Children,2021,Dollars,100782.4697
Chelsea/Clinton,All Households,2021,Dollars,61873.15741
Chelsea/Clinton,Families,2018,Dollars,186425.2669
Chelsea/Clinton,Families with Children,2018,Dollars,205166.8157
Chelsea/Clinton,Families without Children,2018,Dollars,183541.1301
Chelsea/Clinton,All Households,2019,Dollars,126360.1729
Chelsea/Clinton,Families,2019,Dollars,195552.0563
